tweet_id,favorite_count,retweet_count,source,source_url
848212111729840128,15011,2712,Twitter for iPhone,http://twitter.com/download/iphone
847978865427394560,0,2914,Twitter for iPhone,http://twitter.com/download/iphone
847971574464610304,0,394,Twitter for iPhone,http://twitter.com/download/iphone
847962785489326080,21699,4563,Twitter for iPhone,http://twitter.com/download/iphone
847842811428974592,5004,1186,Twitter for iPhone,http://twitter.com/download/iphone
847617282490613760,6458,376,Twitter for iPhone,http://twitter.com/download/iphone
847606175596138505,17324,3075,Twitter for iPhone,http://twitter.com/download/iphone
847251039262605312,18935,3908,Twitter for iPhone,http://twitter.com/download/iphone
847157206088847362,18342,5243,Twitter for iPhone,http://twitter.com/download/iphone
847116187444137987,19841,2870,Twitter for iPhone,http://twitter.com/download/iphone
846874817362120707,18587,3542,Twitter for iPhone,http://twitter.com/download/iphone
846514051647705089,41097,10354,Twitter for iPhone,http://twitter.com/download/iphone
846505985330044928,13046,2755,Twitter for iPhone,http://twitter.com/download/iphone
846153765933735936,29042,8149,Twitter for iPhone,http://twitter.com/download/iphone
846139713627017216,28754,9146,Twitter for iPhone,http://twitter.com/download/iphone
846042936437604353,14788,2582,Twitter for iPhone,http://twitter.com/download/iphone
845812042753855489,26967,7845,Twitter for iPhone,http://twitter.com/download/iphone
845677943972139009,23394,4372,Twitter for iPhone,http://twitter.com/download/iphone
845397057150107648,7077,1618,Twitter for iPhone,http://twitter.com/download/iphone
845306882940190720,21576,4847,Twitter for iPhone,http://twitter.com/download/iphone
845098359547420673,0,6928,Twitter for iPhone,http://twitter.com/download/iphone
844979544864018432,12639,2306,Twitter for iPhone,http://twitter.com/download/iphone
844973813909606400,13911,2843,Twitter for iPhone,http://twitter.com/download/iphone
844580511645339650,15272,2807,Twitter for iPhone,http://twitter.com/download/iphone
844223788422217728,12679,1986,Twitter for iPhone,http://twitter.com/download/iphone
843981021012017153,14089,2698,Twitter for iPhone,http://twitter.com/download/iphone
843856843873095681,19927,4164,Twitter for iPhone,http://twitter.com/download/iphone
843604394117681152,15669,2476,Twitter for iPhone,http://twitter.com/download/iphone
843235543001513987,19930,5388,Twitter for iPhone,http://twitter.com/download/iphone
842846295480000512,14194,3311,Twitter for iPhone,http://twitter.com/download/iphone
842765311967449089,6283,1175,Twitter for iPhone,http://twitter.com/download/iphone
842535590457499648,16887,3168,Twitter for iPhone,http://twitter.com/download/iphone
842163532590374912,22692,5250,Twitter for iPhone,http://twitter.com/download/iphone
842115215311396866,13010,2756,Twitter for iPhone,http://twitter.com/download/iphone
841833993020538882,0,13533,Twitter for iPhone,http://twitter.com/download/iphone
841680585030541313,24005,7143,Twitter for iPhone,http://twitter.com/download/iphone
841439858740625411,11705,3307,Twitter for iPhone,http://twitter.com/download/iphone
841320156043304961,18389,5012,Twitter for iPhone,http://twitter.com/download/iphone
841314665196081154,14719,4227,Twitter Web Client,http://twitter.com
841077006473256960,21302,4880,Twitter for iPhone,http://twitter.com/download/iphone
840761248237133825,0,1619,Twitter for iPhone,http://twitter.com/download/iphone
840728873075638272,0,14567,Twitter for iPhone,http://twitter.com/download/iphone
840698636975636481,163,2,Twitter for iPhone,http://twitter.com/download/iphone
840696689258311684,11462,889,Twitter for iPhone,http://twitter.com/download/iphone
840632337062862849,8415,1619,Twitter for iPhone,http://twitter.com/download/iphone
840370681858686976,15315,4171,Twitter for iPhone,http://twitter.com/download/iphone
840268004936019968,17861,5205,Twitter for iPhone,http://twitter.com/download/iphone
839990271299457024,12516,2063,Twitter for iPhone,http://twitter.com/download/iphone
839549326359670784,25527,7057,Twitter for iPhone,http://twitter.com/download/iphone
839290600511926273,0,132,Twitter for iPhone,http://twitter.com/download/iphone
839239871831150596,25191,5923,Twitter for iPhone,http://twitter.com/download/iphone
838952994649550848,18339,3657,Twitter for iPhone,http://twitter.com/download/iphone
838921590096166913,10407,1853,Twitter for iPhone,http://twitter.com/download/iphone
838916489579200512,0,31,Twitter for iPhone,http://twitter.com/download/iphone
838831947270979586,0,10002,Twitter for iPhone,http://twitter.com/download/iphone
838561493054533637,10233,1230,Twitter for iPhone,http://twitter.com/download/iphone
838476387338051585,20938,4334,Twitter for iPhone,http://twitter.com/download/iphone
838201503651401729,0,9158,Twitter for iPhone,http://twitter.com/download/iphone
838150277551247360,1567,302,Twitter for iPhone,http://twitter.com/download/iphone
838085839343206401,133,1,Twitter for iPhone,http://twitter.com/download/iphone
838083903487373313,16437,2834,Twitter for iPhone,http://twitter.com/download/iphone
837820167694528512,31789,7138,Twitter for iPhone,http://twitter.com/download/iphone
837482249356513284,3600,405,Twitter for iPhone,http://twitter.com/download/iphone
837471256429613056,11967,2058,Twitter for iPhone,http://twitter.com/download/iphone
837110210464448512,15053,2175,Twitter for iPhone,http://twitter.com/download/iphone
836989968035819520,11922,2108,Twitter for iPhone,http://twitter.com/download/iphone
836753516572119041,18096,4256,Twitter for iPhone,http://twitter.com/download/iphone
836677758902222849,11829,2020,Twitter for iPhone,http://twitter.com/download/iphone
836648853927522308,0,507,Twitter for iPhone,http://twitter.com/download/iphone
836397794269200385,0,25028,Twitter for iPhone,http://twitter.com/download/iphone
836380477523124226,13884,2745,Twitter for iPhone,http://twitter.com/download/iphone
836260088725786625,19921,3975,Twitter for iPhone,http://twitter.com/download/iphone
836001077879255040,17865,3880,Twitter for iPhone,http://twitter.com/download/iphone
835685285446955009,0,7404,Twitter for iPhone,http://twitter.com/download/iphone
835574547218894849,16620,3293,Twitter for iPhone,http://twitter.com/download/iphone
835536468978302976,0,1540,Twitter for iPhone,http://twitter.com/download/iphone
835309094223372289,0,19120,Twitter for iPhone,http://twitter.com/download/iphone
835297930240217089,15409,2734,Twitter for iPhone,http://twitter.com/download/iphone
835264098648616962,7219,1540,Twitter for iPhone,http://twitter.com/download/iphone
835246439529840640,1988,63,Twitter for iPhone,http://twitter.com/download/iphone
835172783151792128,24526,5285,Twitter for iPhone,http://twitter.com/download/iphone
835152434251116546,20909,2755,Twitter for iPhone,http://twitter.com/download/iphone
834931633769889797,10081,1488,Twitter for iPhone,http://twitter.com/download/iphone
834786237630337024,20187,5104,Twitter for iPhone,http://twitter.com/download/iphone
834574053763584002,12790,2307,Twitter for iPhone,http://twitter.com/download/iphone
834477809192075265,0,9745,Twitter for iPhone,http://twitter.com/download/iphone
834458053273591808,9021,1544,Twitter for iPhone,http://twitter.com/download/iphone
834209720923721728,19207,4318,Twitter for iPhone,http://twitter.com/download/iphone
834167344700198914,14808,3358,Twitter for iPhone,http://twitter.com/download/iphone
834089966724603904,9429,1961,Twitter for iPhone,http://twitter.com/download/iphone
834086379323871233,12219,2037,Twitter for iPhone,http://twitter.com/download/iphone
833863086058651648,12597,2205,Twitter for iPhone,http://twitter.com/download/iphone
833826103416520705,17052,3483,Twitter for iPhone,http://twitter.com/download/iphone
833732339549220864,0,204,Twitter for iPhone,http://twitter.com/download/iphone
833722901757046785,19646,2993,Twitter for iPhone,http://twitter.com/download/iphone
833479644947025920,13978,1886,Twitter for iPhone,http://twitter.com/download/iphone
833124694597443584,18962,4435,Twitter for iPhone,http://twitter.com/download/iphone
832998151111966721,12404,2008,Twitter for iPhone,http://twitter.com/download/iphone
832769181346996225,0,38,Twitter for iPhone,http://twitter.com/download/iphone
